AEMA101-201509,AEMA101,AEMA,101,201509,F2015,3,B-,2.7,1,001
AEMA101-201609,AEMA101,AEMA,101,201609,F2016,3,B-,2.7,1,001
AEMA101-201709,AEMA101,AEMA,101,201709,F2017,3,B-,2.7,1,001
AEMA101-201809,AEMA101,AEMA,101,201809,F2018,3,C+,2.3,1,001
AEMA102-201201,AEMA102,AEMA,102,201201,W2012,4,B-,2.7,1,001
AEMA102-201401,AEMA102,AEMA,102,201401,W2014,4,B-,2.7,1,001
AEMA102-201501,AEMA102,AEMA,102,201501,W2015,4,B-,2.7,1,001
AEMA102-201601,AEMA102,AEMA,102,201601,W2016,4,B,3.0,1,001
AEMA102-201701,AEMA102,AEMA,102,201701,W2017,4,B,3.0,1,001
AEMA102-201801,AEMA102,AEMA,102,201801,W2018,4,B-,2.7,1,001
AEMA202-201509,AEMA202,AEMA,202,201509,F2015,3,B-,2.7,1,001
AEMA202-201609,AEMA202,AEMA,202,201609,F2016,3,B-,2.7,1,001
AEMA305-201601,AEMA305,AEMA,305,201601,W2016,3,B-,2.7,1,001
AEMA305-201701,AEMA305,AEMA,305,201701,W2017,3,B-,2.7,1,001
AEMA305-201801,AEMA305,AEMA,305,201801,W2018,3,B+,3.3,1,001
AEMA310-201409,AEMA310,AEMA,310,201409,F2014,3,B+,3.3,1,001
AEMA310-201509,AEMA310,AEMA,310,201509,F2015,3,B+,3.3,1,001
AEMA310-201609,AEMA310,AEMA,310,201609,F2016,3,B+,3.3,1,001
AEMA310-201701,AEMA310,AEMA,310,201701,W2017,3,B+,3.3,1,001
AEMA310-201709,AEMA310,AEMA,310,201709,F2017,3,B-,2.7,1,001
AEMA310-201801,AEMA310,AEMA,310,201801,W2018,3,B+,3.3,1,001
AEPH112-201309,AEPH112,AEPH,112,201309,F2013,4,B+,3.3,1,001
AEPH112-201409,AEPH112,AEPH,112,201409,F2014,4,B+,3.3,1,001
AEPH112-201509,AEPH112,AEPH,112,201509,F2015,4,B,3.0,1,001
AEPH112-201609,AEPH112,AEPH,112,201609,F2016,4,B,3.0,1,001
AEPH112-201709,AEPH112,AEPH,112,201709,F2017,4,B,3.0,1,001
AEPH112-201809,AEPH112,AEPH,112,201809,F2018,4,B-,2.7,1,001
AEPH113-201609,AEPH113,AEPH,113,201609,F2016,4,C+,2.3,1,001
AEPH114-201401,AEPH114,AEPH,114,201401,W2014,4,B+,3.3,1,001
AEPH114-201501,AEPH114,AEPH,114,201501,W2015,4,B,3.0,1,001
AEPH114-201601,AEPH114,AEPH,114,201601,W2016,4,B,3.0,1,001
AEPH114-201701,AEPH114,AEPH,114,201701,W2017,4,B-,2.7,1,001
AEPH114-201801,AEPH114,AEPH,114,201801,W2018,4,B,3.0,1,001
AEPH115-201701,AEPH115,AEPH,115,201701,W2017,4,B-,2.7,1,001
AFRI200-201601,AFRI200,AFRI,200,201601,W2016,3,B+,3.3,1,001
AFRI200-201609,AFRI200,AFRI,200,201609,F2016,3,B+,3.3,1,001
AFRI200-201709,AFRI200,AFRI,200,201709,F2017,3,A-,3.7,1,001
AFRI200-201809,AFRI200,AFRI,200,201809,F2018,3,B+,3.3,1,001
AFRI401-201609,AFRI401,AFRI,401,201609,F2016,3,A,4.0,1,001
AGEC200-201609,AGEC200,AGEC,200,201609,F2016,3,A,4.0,1,001
AGEC200-201709,AGEC200,AGEC,200,201709,F2017,3,B+,3.3,1,001
AGEC200-201809,AGEC200,AGEC,200,201809,F2018,3,B+,3.3,1,001
AGEC330-201709,AGEC330,AGEC,330,201709,F2017,3,B+,3.3,1,001
AGRI215-201809,AGRI215,AGRI,215,201809,F2018,3,A,4.0,1,001
AGRI411-201801,AGRI411,AGRI,411,201801,W2018,3,A-,3.7,1,001
ANAT212-201401,ANAT212,ANAT,212,201401,W2014,3,B+,3.3,1,001
ANAT212-201501,ANAT212,ANAT,212,201501,W2015,3,B+,3.3,1,001
ANAT212-201601,ANAT212,ANAT,212,201601,W2016,3,B+,3.3,1,001
